NM_MUNICIPIO,QT_BENEFICIARIO_ATIVO
Palmas,128401
Araguaína,38027
Gurupi,18325
Porto Nacional,16113
Paraíso do Tocantins,7770
Colinas do Tocantins,4814
Pedro Afonso,4711
Guaraí,3964
Dianópolis,2868
Miracema do Tocantins,2733
Araguatins,2484
Xambioá,2366
Tocantinópolis,2220
Taguatinga,2171
Formoso do Araguaia,2090
Alvorada,1746
Almas,1282
Natividade,1268
Arraias,1166
Miranorte,1154
Augustinópolis,1139
Lagoa da Confusão,1028
Araguaçu,987
Bom Jesus do Tocantins,937
Bandeirantes do Tocantins,808
Colméia,674
Campos Lindos,672
Peixe,645
Palmeirópolis,630
Figueirópolis,584
Nova Olinda,572
Cristalândia,561
Arapoema,543
Tupirama,536
Wanderlândia,534
Ananás,525
Sítio Novo do Tocantins,516
Axixá do Tocantins,453
Goiatins,446
Aliança do Tocantins,432
São Miguel do Tocantins,423
Ponte Alta do Tocantins,410
Paranã,409
Divinópolis do Tocantins,404
Monte do Carmo,375
Cachoeirinha,374
Palmeirante,371
Itacajá,370
Babaçulândia,360
Filadélfia,356
Nova Rosalândia,350
Santa Fé do Araguaia,349
Silvanópolis,335
Tocantínia,334
Combinado,323
Buriti do Tocantins,321
Rio Sono,315
Barrolândia,313
Araguacema,306
Cariri do Tocantins,302
Pequizeiro,302
Pium,301
Riachinho,297
Lajeado,294
Brejinho de Nazaré,289
Novo Acordo,274
São Valério,274
Santa Rosa do Tocantins,274
Ponte Alta do Bom Jesus,273
Caseara,272
Aparecida do Rio Negro,271
Fátima,262
Marianópolis do Tocantins,260
Dois Irmãos do Tocantins,259
Nazaré,251
Presidente Kennedy,219
Bernardo Sayão,216
Sandolândia,215
Conceição do Tocantins,214
Goianorte,208
Aurora do Tocantins,205
Aguiarnópolis,202
Aragominas,201
Darcinópolis,196
Fortaleza do Tabocão,196
Couto Magalhães,191
Pindorama do Tocantins,188
Talismã,183
Palmeiras do Tocantins,183
Itaguatins,174
Dueré,170
Novo Alegre,163
Carmolândia,161
Pau D'Arco,155
São Sebastião do Tocantins,154
Piraquê,152
Porto Alegre do Tocantins,152
Santa Tereza do Tocantins,143
Angico,141
Araguanã,140
Sampaio,139
Itapiratins,138
Santa Maria do Tocantins,130
Esperantina,126
Luzinópolis,126
Recursolândia,122
Barra do Ouro,120
São Salvador do Tocantins,117
Novo Jardim,116
Lizarda,114
Rio da Conceição,110
Jaú do Tocantins,107
Abreulândia,107
São Bento do Tocantins,104
Itaporã do Tocantins,101
Oliveira de Fátima,99
Praia Norte,98
São Félix do Tocantins,96
Santa Terezinha do Tocantins,93
Muricilândia,88
Lagoa do Tocantins,87
Mateiros,82
Tupiratins,80
Chapada da Natividade,79
Pugmil,78
Centenário,77
Sucupira,77
Maurilândia do Tocantins,70
Taipas do Tocantins,69
Lavandeira,63
Rio dos Bois,53
Juarina,50
Brasilândia do Tocantins,49
Carrasco Bonito,49
Crixás do Tocantins,46
Monte Santo do Tocantins,38
Ipueiras,35
Santa Rita do Tocantins,34
Chapada de Areia,26
Município ignorado - TO,8